Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/28/2024 17:50,62,Farmer,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They were better at reaching people, They made stronger promises",Frederick Adom,Adu kofi ,"Clean water, Sand winning ",Frederick Obeng Adom (NPP),Stop the sand winning ,Yes
12/28/2024 17:51,50,Farmer ,Yes,,They were active in the community,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Adu Kofi ,"Bad roads, Jobs, Health Services, Clean water, Lavatories ",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 17:52,72,Farmer ,No,I had no transportation,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Adu kofi ,"Jobs, Clean water, Lavatory ",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Yes
12/28/2024 17:54,24,Seamstress ,No,I had no transportation,,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me",,People were not happy with the NPP government,,Frederick Adom,Adu Kofi ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 17:55,29,Driver ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,,Frederick Adom,Adu Kofi ,"Clean water, Lavatories ",Frederick Obeng Adom (NPP),They should fulfil their promises on time ,Yes
12/28/2024 17:55,18,Hairdresser ,Yes,,I support their party,NPP,Team didn’t support ,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,,Frederick Adom,,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,No
12/28/2024 17:55,21,Unemployed,No,I had no transportation,,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, People vote for NDC here","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Adu  Kofi,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),No idea,Yes
12/28/2024 18:07,37,Farmer ,Yes,,I liked their projects or promises,NPP,He didn’t do enough for the community,"Yes, I knew about them","He tried, but it wasn't enough",,,,Odumkyere darmang,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:09,,,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed","He was more visible and approachable, The NDC’s promises were better",They were better at reaching people,Frederick Adom,Teacher Ayeh ,"Jobs, Health Services",,,
12/28/2024 18:10,,Farmer ,Yes,,For change and development ,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,Frederick Adom,Teacher Ayeh,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/28/2024 18:11,,DJ,No,I wasn’t interested,,,,,,,,,Teacher Ayeh,,,,
12/28/2024 18:11,61,Unemployed ,No,I had no transportation,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, Lack of team support ","Yes, I knew about them",,People were not happy with the NPP government,They made stronger promises,Frederick Adom,Teacher Aryerh ,"Jobs, Clean water, Lavatories ",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:11,,,No,,,NPP,,,,,,,,,,,
12/28/2024 18:11,18,Unemployed,Yes,,I liked their projects or promises,NPP,None ,"Yes, I knew about them","He tried, but it wasn't enough",None ,"They focused on key issues (farming, roads, schools)",Frederick Adom,Teacher aye,"Jobs, Schools and education, Clean water",Neither,Provision of social amenities ,Yes
12/28/2024 18:12,,Driver,No,I travelled ,,,,,,,,,Odumkyere Darmang,,,,
12/28/2024 18:12,37,Trader ,No,,,NPP,,,,,,,Teacher aye,"Jobs, Schools and education",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:12,72,Farmer ,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them",,"He was more visible and approachable, People here always vote NDC","They focused on key issues (farming, roads, schools)",Amankwanor,Atim atim,Bad roads,Frederick Obeng Adom (NPP),Depends on what the current MP will do ,No
12/28/2024 18:13,36,Trader,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They were better at reaching people, They made stronger promises",Frederick Adom,Teacher Aryeh,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:13,,,Yes,,,NPP,People were not happy with the NPP government and wanted change,,,,,Frederick Adom,Odumkyere darman ,"Bad roads, Jobs, Schools and education, Health Services",,,Dont know
12/28/2024 18:14,52,Farmer,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Frederick Adom,Odom Kyere Daman,"Bad roads, Clean water",Frederick Obeng Adom (NPP),Construction of road ,Yes
12/28/2024 18:14,,Electrician ,Yes,,"I support their party, I liked their projects or promises",NDC,His team didn’t help him,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Atimtim,"Bad roads, Clean water, Lavatory ",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/28/2024 18:15,,Farmer,Yes,,,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",,Owurakesim,"Bad roads, Jobs, Schools and education, Health Services, Clean water",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:15,55,Farmer ,Yes,,I liked their projects or promises,NDC,The NDC’s promises sounded better,"Yes, I knew about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Frederick Adom,Orakese ,"Jobs, Clean water, Lavatory ",Neither,Provision of social amenities ,Yes
12/28/2024 18:15,46,Farmer,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","Yes, I knew about them","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Odumkyeredarmang,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),,Yes
12/28/2024 18:15,52,Farmer,Yes,,For change ,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Salas Mensah,Esukyerema,"Bad roads, Clean water, Lavatory ",Neither,Depends on what the current MP will do ,Yes
12/28/2024 18:16,,Unemployed ,No,I travelled ,,,,,,,,,Owurakese,,,,
12/28/2024 18:16,37,Trader,Yes,I had no transportation,They were active in the community,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me",,People were not happy with the NPP government,They made stronger promises,Frederick Adom,Odumkyere Damang ,"Bad roads, Jobs, Clean water",Neither,Fulfill their promise ,Yes
12/28/2024 18:16,,Farmer,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,Odumkyere Darman ,"Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:18,47,Farmer,No,I wasn’t interested,They were active in the community,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Owurakesim,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Should be careful about team,No
12/28/2024 18:18,33,Farmer,Yes,,,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",,,Frederick Adom,Owurakesim ,"Schools and education, Health Services",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:18,31,Farmer,Yes,,They were active in the community,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, I heard, but they didn't help me",,People were not happy with the NPP government,They made stronger promises,Frederick Adom,Atim Atim,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:18,34,Trader ,Yes,,I liked their projects or promises,NPP,,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,,Frederick Adom,Owurakesim ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:19,,Farmer,Yes,,,NPP,,,,,,,Odumkyere Darman ,"Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:19,,Farmer,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Atimtim,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/28/2024 18:19,,,Yes,,,,,,,,,,,,,,
12/28/2024 18:19,49,Farmer ,Yes,,They were active in the community,NPP,,"I heard, but they didn't help me",,He was more visible and approachable,,,Owurakesim,Jobs,,Fulfill their promise ,Yes
12/28/2024 18:19,39,Trader,Yes,,They were active in the community,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They were better at reaching people, They made stronger promises",Frederick Adom,Atimatim,"Help for farmers (tools, fertilizer), Bad roads, Jobs",Frederick Obeng Adom (NPP),,Yes
12/28/2024 18:20,,,No,,,NPP,,,,,,Frederick Adom,,,,,Yes
12/28/2024 18:20,,Farmer,Yes,,I support their party,NPP,I don’t know ,"Yes, I knew about them","Yes, he did most of the work needed","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Amankwanor,Odumkyere Darmang,"Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Come out with better policies ,Yes
12/28/2024 18:21,19,Student ,Yes,,,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them",,,They made stronger promises,Frederick Adom,Teacher Aryerh ,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:21,,,Yes,,I support their party,NPP,,,,,,,Odumkyere Darman ,"Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),,
12/28/2024 18:21,25,Baker,No,I travelled ,,,,,,,,,Owurakese,"Bad roads, Health Services",Emmanuel Drah (NDC),Job creation ,Yes
12/28/2024 18:22,,,No,,,,,,,,,,Owurakesim ,,,,
12/28/2024 18:23,24,Unemployed ,No,I travelled ,,,,,,,,,Teacher Ayeh,,,,
12/28/2024 18:23,32,Trader ,No,I wasn’t interested,,,,,,People here always vote NDC,,Frederick Adom,Atimatim ,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:23,28,Seamstress ,Yes,,,NPP,,None,"Yes, he did most of the work needed",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,Odumkyere Damang,"Jobs, Clean water",Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:23,24,Unemployed,Yes,,"I support their party, They were active in the community",NPP,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Teacher,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Work harder,Yes
12/28/2024 18:23,,,Yes,,,,,,,,,,Atimetim,,,,
12/28/2024 18:24,,,Yes,,,,,,,,,,,,,,
12/28/2024 18:25,,,No,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:25,54,Farmer ,No,I had no transportation,,NPP,Lack of team support ,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Owurakesim,Jobs,Neither,Fulfill their promise ,Yes
12/28/2024 18:26,37,Farmer,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","Yes, I knew about them, I heard, but they didn't help me","Yes, he did most of the work needed","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Odumkyere Darmang,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),,Yes
12/28/2024 18:27,,,No,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:28,26,DJ,No,I travelled ,,,,,,,,,Odumkyere Darmang ,,,,
12/28/2024 18:29,,,Yes,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:31,,Trader,Yes,,I support their party,NDC,I don’t know ,"Yes, I knew about them, Boreholes ","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Assifu Bekoe,Atimatim,"Bad roads, Health Services, Clean water",Emmanuel Drah (NDC),Fulfill their promises ,Yes
12/28/2024 18:33,,Trader,No,"I wasn’t interested, My name wasn’t on the voter list",,,,,,,,,,,,,
12/28/2024 18:33,,Student ,No,I wasn’t interested,,,,,,,,,Obeng Yaw,,,,
12/28/2024 18:34,,,No,,,,,,,,,,Obeng Yaw ,,,,
12/28/2024 18:34,30,Unemployed ,No,I had no transportation,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them, I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Obeng Yaw,"Bad roads, Clean water",Frederick Obeng Adom (NPP),Do what the citizens says ,No
12/28/2024 18:34,36,Trader ,No,I wasn’t interested,,,,,,,,,Obeng Yaw ,"Bad roads, Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:35,,Seamstress ,Yes,,"I liked their projects or promises, For change ",NDC,I don’t know ,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People here always vote NDC","They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,Obeng Yaw,"Help for farmers (tools, fertilizer), Bad roads, Clean water",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/28/2024 18:35,,Student,No,,,,,,,,,,Atimetim,,,,
12/28/2024 18:36,,Student ,Yes,,"I support their party, I liked their projects or promises",NPP,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Salas Mensah,Obeng Yaw,"Bad roads, Health Services",Frederick Obeng Adom (NPP),Job creation ,Yes
12/28/2024 18:37,20,Hair dresser ,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Assifu Bekoe,Odom Kyere Daman ,"Jobs, Clean water",Emmanuel Drah (NDC),Provide network poll ,Yes
12/28/2024 18:37,31,Mason,Yes,"I had no transportation, I didn’t know where to vote",I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",Assifu Bekoe,Obeng Yaw,"Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
12/28/2024 18:38,,,No,,,NPP,,,,,,,Odimkyere Darman ,,,,
12/28/2024 18:38,32,Hairdresser ,Yes,,"I support their party, I liked their projects or promises",NPP,He didn’t do enough for the community,"I heard, but they didn't help me",,"He was more visible and approachable, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Frederick Adom,Atim Atim,"Bad roads, Clean water",Neither,None,Yes
12/28/2024 18:39,,Unemployed ,No,I wasn’t interested,,,,,,,,,Atimatim ,,,,
12/28/2024 18:39,,,No,,,,,,,,,,,,,,
12/28/2024 18:40,,,Yes,,,,,,,,,,Atimetim ,,,,
12/28/2024 18:40,53,Food vendor ,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them, I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Amankwanor,Obeng Yaw ,"Jobs, Health Services",Frederick Obeng Adom (NPP),Fulfill their promises ,No
12/28/2024 18:41,,,No,,,,,,,,,,Owurakesim,,,,
12/28/2024 18:41,19,Student,No,I wasn’t interested,,NPP,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Atimatim,"Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
12/28/2024 18:41,,,Yes,,,,,,,,,,Owurakesem,,,,
12/28/2024 18:42,35,Trader,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Owura kesim,Jobs,Emmanuel Drah (NDC),Depends on what the current MP will do ,Yes
12/28/2024 18:42,18,Student ,No,Missing ,,,,,,,,,Atimatim ,"Bad roads, Jobs, Schools and education, Health Services",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:42,,,Yes,,,,,,,,,,,,,,
12/28/2024 18:42,19,Trader ,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, Lack of team support ","I heard, but they didn't help me","Yes, he did most of the work needed",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,Obeng Yaw,"Jobs, Clean water",Frederick Obeng Adom (NPP),Provide the needful for the community ,Yes
12/28/2024 18:42,,,Yes,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:43,,,No,,,,,,,,,,Owurakesim,,,,
12/28/2024 18:43,,,Yes,,,,,,,,,,,,,,
12/28/2024 18:43,22,Seamstress ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Atim Atim ,Jobs,Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:44,72,Hair dresser ,Yes,,"I liked their projects or promises, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","Yes, he did most of the work needed",He was more visible and approachable,They made stronger promises,Frederick Adom,Atim Atim ,"Bad roads, Clean water",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Yes
12/28/2024 18:44,,,Yes,,,,,,"Yes, he did most of the work needed",,,,Odmyere darman ,,,,
12/28/2024 18:45,,,No,,,,,,,,,,,,,,
12/28/2024 18:45,39,Trader,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","I heard, but they didn't help me","Yes, he did most of the work needed","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Amankwanor,Obeng Yaw ,"Bad roads, Clean water",Frederick Obeng Adom (NPP),62,Yes
12/28/2024 18:46,,,Yes,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:46,,Teacher ,Yes,,For change and Deb ,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them, Boreholes, roads,schools ","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Odumkyere Darmang ,"Bad roads, Health Services, Clean water",Emmanuel Drah (NDC),,Yes
12/28/2024 18:46,,,Yes,,,NDC,,,,,,,,,,,
12/28/2024 18:47,,,Yes,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:47,46,Farmer ,Yes,,,NPP,People vote for NDC here,"Yes, I knew about them","Yes, he did most of the work needed",,,Frederick Adom,Atimatim ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 18:47,,,No,,,,,"No, I didn't know about them",,,,,,,,,
12/28/2024 18:47,62,Farmer,No,I wasn’t interested,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government",,,Odum Kyere Daman ,"Bad roads, Clean water",Emmanuel Drah (NDC),Fulfill their promises ,Dont know
12/28/2024 18:48,,,No,,,,,,,,,,,,,,
12/28/2024 18:48,34,Hunter ,Yes,,I support their party,NPP,,"Yes, I knew about them",,People were not happy with the NPP government,They made stronger promises,Frederick Adom,Owurakesim ,Jobs,Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 18:48,,,Yes,,,,,,,,,,,,,,
12/28/2024 18:49,19,Student ,No,"I had no transportation, I wasn’t interested",I liked their projects or promises,NDC,"He didn’t do enough for the community, The NDC’s promises sounded better","No, I didn't know about them","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Assifu Bekoe,Odum Kyere Daman ,"Bad roads, Clean water",Emmanuel Drah (NDC),Fulfill their promises t,Dont know
12/28/2024 18:50,,Tiler,Yes,,For change ,None,I don’t know ,"No, I didn't know about them","No, he didn't solve major issues",I don’t know ,I don’t know ,Frederick Adom,Owurakese ,"Bad roads, Jobs",Emmanuel Drah (NDC),Fulfill their promises ,No
12/28/2024 18:50,,,No,,,NPP,,,,,,,,,,,
12/28/2024 18:51,,Seamstress ,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them, I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They made stronger promises",Salas Mensah,Owurakese ,"Help for farmers (tools, fertilizer)",Frederick Obeng Adom (NPP),Fulfill their promises ,Yes
12/28/2024 18:53,,,No,,,,,,,,,,,,,,
12/28/2024 18:55,,,No,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 18:55,,Gardener ,Yes,,"I support their party, I liked their projects or promises",None ,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Electricity ","Yes, he did most of the work needed",None,None,Frederick Adom,Obeng Yaw,"Bad roads, Health Services",Frederick Obeng Adom (NPP),Fulfill their promises ,No
12/28/2024 18:56,,,No,,,,,,,,,,,,,,
12/28/2024 18:57,43,Farmer,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Frederick Adom,Obeng Yaw,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),,Yes
12/28/2024 18:57,73,Farmer ,Yes,,I support their party,NDC,The NDC’s promises sounded better,"Yes, I knew about them","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Obeng yaw ,"Bad roads, Network ",Neither,Fulfilling people policies ,Yes
12/28/2024 18:59,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:02,,,No,,,,,,,,,,Odumkyere Darman,,,,
12/28/2024 19:02,26,Unemployed,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Obeng Yaw,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),,Yes
12/28/2024 19:03,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:05,37,Trader,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Roman ridge,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Nothing,Yes
12/28/2024 19:05,,,No,,,,,,,,,,,,,,
12/28/2024 19:06,,,No,,,,,,,He was more visible and approachable,,,,,,,
12/28/2024 19:06,53,Farmer,Yes,,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Atim Atim ,"Jobs, Clean water",Neither,Depends on what the current MP will do ,No
12/28/2024 19:06,,Unemployed ,No,I wasn’t interested,,,,,,,,,,,,,
12/28/2024 19:07,,,No,,,NPP,,,,,,,,,,,
12/28/2024 19:07,26,Factory worker,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Roman ridge,"Bad roads, Jobs, Clean water",Frederick Obeng Adom (NPP),Provide employment,Yes
12/28/2024 19:07,,,Yes,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 19:08,62,Trader ,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Amankwanor,Odum Kyere Daman ,"Bad roads, Clean water",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Yes
12/28/2024 19:08,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:08,23,,Yes,,I support their party,NDC,None ,"No, I didn't know about them","He tried, but it wasn't enough",None ,They were better at reaching people,Frederick Adom,Atimatim,"Bad roads, Schools and education, Clean water",Frederick Obeng Adom (NPP),Fulfilling  policies ,Yes
12/28/2024 19:08,,,No,I had no transportation,,,,,,,,,,,,,
12/28/2024 19:08,67,Farmer ,No,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,They made stronger promises,Frederick Adom,Adeiso ,"Jobs, Laa saaa b",,Fulfill their promise ,Yes
